treeId,cellId,latitude,longitude,species
14148184,53,40.71503463998662,-73.996588587211,Chinese juniper
2124297,53,40.71508654807519,-73.99661081735137,'Green leaf' Japanese flowering cherry
2124298,54,40.71507372077478,-73.99656823946984,'Green leaf' Japanese flowering cherry
2124300,54,40.71512839142585,-73.99653539997146,'Not Green leaf' Japanese flowering cherry
14148180,54,40.7151952948999,-73.99649521371367,'Green leaf' Japanese flowering cherry
14233842,54,40.715235930397334,-73.99651023663472,Japanese flowering cherry
2124305,54,40.715268044031426,-73.99648919249742,'Green leaf' Japanese flowering cherry
2124306,54,40.71527502724026,-73.9964175357963,'Green leaf' Japanese flowering cherry
15197083,54,40.71530716091222,-73.9963978060037,'Kwanzan' Flowering cherry
2124307,54,40.71534243539994,-73.99644450863167,'Green leaf' Japanese flowering cherry
2124308,54,40.71533415351956,-73.99638504378578,London planetree
2124309,54,40.715378633546976,-73.99642276454718,'Green leaf' Japanese flowering cherry
15208674,54,40.71536732053559,-73.99636727235803,Sargent cherry
2124310,54,40.715411085733386,-73.99640327068587,'Green leaf' Japanese flowering cherry
14148181,54,40.715400545434306,-73.9963536410208,'Green leaf' Japanese flowering cherry
15197085,54,40.715434628064564,-73.99633986984055,'Kwanzan' Flowering cherry
2124312,54,40.71545582556101,-73.996374038715,'Green leaf' Japanese flowering cherry
2124313,54,40.715457782177545,-73.99633259387076,'Green leaf' Japanese flowering cherry
2116265,54,40.71583591966973,-73.99608387391734,maidenhair tree
2116266,54,40.715835077144526,-73.99604379225656,maidenhair tree
2116282,54,40.71586705231108,-73.99605604845081,maidenhair tree
2116267,54,40.71586159162276,-73.996013261565,maidenhair tree
2116281,54,40.71589371200771,-73.99604129221565,maidenhair tree
5790423,55,40.71487899231975,-73.99690239648368,'Autumnalis' Higan cherry
2122831,55,40.71417668689672,-73.99741346910976,'Green leaf' Japanese flowering cherry
13868744,55,40.714266589582515,-73.99735203459723,'Millstone' Japanese pagodatree
14529237,55,40.71452806073323,-73.99716233984886,'Green Vase' Zelkova
14582166,55,40.71492864022317,-73.9968720668913,'Green Vase' Zelkova
2122835,55,40.714372598542724,-73.9972781625884,'Green leaf' Japanese flowering cherry
2122834,55,40.71431463191325,-73.99732128108231,'Green leaf' Japanese flowering cherry
14529238,55,40.71449388747274,-73.99719215360825,'Green Vase' Zelkova
13869140,55,40.71422377158681,-73.99738930716423,'Millstone' Japanese pagodatree
14529227,55,40.7144141936111,-73.9972510780931,'Green Vase' Zelkova
2122837,55,40.71445570111593,-73.99722118668853,London planetree
14529235,55,40.71512190651075,-73.99675660187697,'Green Vase' Zelkova
14529233,55,40.715245672859744,-73.996674128243,'Green Vase' Zelkova
14529234,55,40.71518980966453,-73.99671823972379,'Green Vase' Zelkova
14529231,55,40.71529064332444,-73.99664907644991,'Green Vase' Zelkova
14529230,55,40.715335316273475,-73.99661854382427,'Green Vase' Zelkova
14529510,55,40.71538326531642,-73.99659192414205,'Green Vase' Zelkova
15936508,55,40.7154237686408,-73.99656608863856,'Green Vase' Zelkova
15936550,55,40.715469388673704,-73.9965410171324,'Green Vase' Zelkova
15936551,55,40.71552232482609,-73.99650348802811,'Green Vase' Zelkova
14582155,55,40.715556053955,-73.99648543100206,'Green Vase' Zelkova
4605072,56,40.71560459997535,-73.99645959493961,'Not Green leaf' Japanese flowering cherry
14529219,56,40.71564897442802,-73.99643062747651,'Green Vase' Zelkova
15936507,56,40.71570011345688,-73.99639821238213,'Green Vase' Zelkova
13852128,56,40.71574755303433,-73.99637425807086,'Millstone' Japanese pagodatree
13852127,56,40.71578775836225,-73.99634764072718,'Millstone' Japanese pagodatree
13852126,56,40.715830644524935,-73.99632493487864,'Millstone' Japanese pagodatree
2122891,56,40.71587442419387,-73.99629440183809,Japanese zelkova
2122892,56,40.71591813476407,-73.99626696278396,Japanese zelkova
14582151,56,40.71596578595445,-73.9962450411618,'Green Vase' Zelkova
15197079,56,40.71632008499313,-73.99717216944629,'Sterling' Silver linden
2125930,56,40.71595105561794,-73.99958601850518,maidenhair tree
11137692,56,40.715975738683554,-73.99965725984555,maidenhair tree
2125932,56,40.715999057320964,-73.99972456024963,maidenhair tree
15197060,56,40.71609167566959,-73.99966228169473,'Frontier' Elm
2125933,56,40.71602203510938,-73.99979087620439,maidenhair tree
2125934,56,40.716045239874894,-73.99985784978887,maidenhair tree
2125935,56,40.71606742103246,-73.99992186767209,maidenhair tree
11137681,56,40.715540486999664,-74.00052528346818,white oak
11137682,56,40.71562864381785,-74.00046735472013,white oak
16434527,56,40.71573526604867,-74.00039063714208,swamp white oak
2134809,56,40.7173275233117,-73.99926477115957,maidenhair tree
15216543,57,40.71436485145212,-73.99219010890671,swamp white oak
2124933,57,40.7146002028734,-73.99267986513537,London planetree
1448005,57,40.71463373401804,-73.9927412657609,London planetree
15208596,57,40.71455642327995,-73.99249213190777,'Greenspire' Littleleaf linden
15208594,57,40.71445865902842,-73.99223558063122,swamp white oak
1448006,57,40.71473254365667,-73.9927043753864,London planetree
15208592,57,40.71454631805837,-73.99214193926852,swamp white oak
15319665,57,40.71446921461918,-73.99189923330219,European hornbeam
2124932,57,40.714805326754785,-73.99259752208562,London planetree
1448007,57,40.71483535689907,-73.99265375885783,London planetree
13436528,57,40.71479295842164,-73.99241680462083,littleleaf linden
2124931,57,40.71493811308919,-73.9925258423488,London planetree
14179392,57,40.71475560188037,-73.9920060249624,American basswood
2111100,57,40.714743491815305,-73.99165222660594,Japanese zelkova
15208611,57,40.715494091524306,-73.99326161313299,'Green Vase' Zelkova
15208612,57,40.715538915492246,-73.99324736956456,'Green Vase' Zelkova
10183237,57,40.71518333703647,-73.99237110865649,'Homestead' Elm
2145852,57,40.71525308703434,-73.99243901969335,London planetree
4609718,57,40.71566180681826,-73.99330285691946,Japanese pagoda tree
16153935,57,40.715652591629315,-73.99318209299128,'Green Vase' Zelkova
10183239,58,40.71528101000612,-73.99216795281662,'Emerald Sunshine' Elm
4610005,58,40.71575115193823,-73.99325900942507,London planetree
15514087,58,40.71532069781285,-73.99214688463803,'Emerald Sunshine' Elm
10183637,58,40.715321513230585,-73.99214681164483,'Emerald Sunshine' Elm
15208614,58,40.71577926438663,-73.99311088684726,'Green Vase' Zelkova
4609923,58,40.715191335610264,-73.99168406407928,Japanese pagoda tree
2145851,58,40.715470253235054,-73.99232894944353,London planetree
15208615,58,40.71582567568222,-73.9930959996487,'Green Vase' Zelkova
